start station name,start_lat,start_lng,end_lat,end_lng,NTACode
Riverside Dr & W 148 St,40.829114000000004,-73.95042600000001,40.796153499999996,-73.94782145,MN04
W 148 St & Amsterdam Ave,40.827075,-73.945909,40.8011939,-73.9500739,MN04
St Nicholas Ave & W 150 St,40.827212,-73.942722,40.816576,-73.927987,MN04
Hamilton Pl & W 140 St,40.822756,-73.951346,40.746646999999996,-73.993915,MN04
Hamilton Pl & W 140 St,40.822756,-73.951346,40.809495347779475,-73.94776493310928,MN04
Hamilton Pl & W 140 St,40.822756,-73.951346,40.809495347779475,-73.94776493310928,MN04
Edgecombe Ave & W 150 St,40.826881,-73.941427,40.823498,-73.94386,MN04
W 145 St & Amsterdam Ave,40.825244,-73.947257,40.821728,-73.952761,MN04
Bradhurst Ave & W 148 St,40.825125,-73.941616,40.820681,-73.945144,MN04
W 146 St & Broadway,40.826969,-73.949738,40.827304999999996,-73.951989,MN04
Riverside Dr & W 138 St,40.823168,-73.955857,40.7691572,-73.96703464,MN04
St. Nicholas Ave & W 155 St,40.830663,-73.941323,40.8006721,-73.9349,MN04
Edgecombe Ave & W 150 St,40.826881,-73.941427,40.842172999999995,-73.93511099999999,MN04
W 146 St & Broadway,40.826969,-73.949738,40.825244,-73.947257,MN04
Broadway & W 153 St,40.831327,-73.946665,40.832164,-73.949702,MN04
Amsterdam Ave & W 152 St,40.829522999999995,-73.94427900000001,40.768254,-73.988639,MN04
Bradhurst Ave & W 148 St,40.825125,-73.941616,40.822756,-73.951346,MN04
Hamilton Pl & W 138 St,40.821728,-73.952761,40.809495347779475,-73.94776493310928,MN04
St Nicholas Ave & W 150 St,40.827212,-73.942722,40.823498,-73.94386,MN04
Broadway & W 153 St,40.831327,-73.946665,40.8190344,-73.95615600000001,MN04
St. Nicholas Ave & W 155 St,40.830663,-73.941323,40.804213,-73.96699104,MN04
W 148 St & Amsterdam Ave,40.827075,-73.945909,40.823168,-73.955857,MN04
Riverside Dr & W 153 St,40.832164,-73.949702,40.829114000000004,-73.95042600000001,MN04
Riverside Dr & W 153 St,40.832164,-73.949702,40.7277140777778,-74.01129573583603,MN04
